Author,Title,Category,Descriptors
"Abbott, Margery Post et al., eds.",Walk Worthy of Your Calling: Quakers and the Traveling Ministry,Quakerism,
"Abbott, Margery Post, ed.","Certain Kind of Perfection, A: An Anthology of Evangelical and Liberal Quaker Writers",Quakerism,
"Abrams, Irwin, ed.","Words of Peace, The: Selections from the Speeches of the Winners of the Nobel Peace Prize",P&SC: Peace & Nonviolence,
"Achtemeier, Paul J., ed.",Harper's Bible Dictionary,Bible,
"Adinolf, Lucille",Bakshi,b-Morningsiders,Buddhism
AFSC ,Who Shall Live?:Man's Control Over Birth and Death:,P&SC:Social Action,"Abortion, Euthanasia"
AFSC (American Friends Service Committee),Compassionate Peace: A Future for the Middle East,P&SC:Peace & Nonviolence,
"Albertson, Sandra Hayward",Endings & Beginnings: A Young Family's Experience with Death and Renewal,ARCH,
Alcoholics Anonymous,Daily Reflections,Spirituality,
"Alford, Katherine & Gunst, Kathy","Rage Baking: The Transformative Power of Flour, Fury, and Women's Voices",b-Morningsiders,Cookbook
"Ali, Abdulah Yusuf, Trans","Holy Quran, The",Other Faiths,Islam
"Allen, Irene",Quaker Indictment,Fiction,Mystery
"Allen, Irene",Quaker Testimony,Fiction,Mystery
"Allen, Irene",Quaker Witness,Fiction,Mystery
"Allen, Richard",Silence & Speech: For Anyone New to Quaker Worship,Quaker Basics,
"Allen, Roy ",Reflections of a Moderate Quaker,Quakerism,
"Allison, Jay & Dan Gediman, Eds.",This I Believe: The Personal Philosophies of Remarkable Men and Women,Spirituality,
"Allport, Gordon W.","Nature of Prejudice, The",P&SC:Racial Justice,
"Alter, Robert","Art of Bible Translation, The",Bible,
"Ambler,Rex",Light to Live By: An Exploration in Quaker Spirituality. ,b-Quakers/Ambler,
"Ambler,Rex","Quaker Way, The: A Rediscovery",Quaker Basics,
Amigas del Senor,Giving Up Something Good for Something Better,b-Quakers/Amigas…,
"Andreas, Mark",Sweet Fruit from the Bitter Tree: 61 Stories of Creative and Compassionate Ways Out of Conflict,P&SC:Peace & Nonviolence,Peacemaking
Andrew Crispo Gallery,"Gentle Spirit, A: Exhibition Catalog","b-Quakers/Hicks, Edward",
"Angell, Stephen W. & Dandelion, Pink, eds.",Cambridge Companion to Quakerism ,Quakerism,
Anonymous; ,"Way of the Pilgrim, The; R.M. French, trans. (from Russian) ",Spirituality,Prayer
"Apsey, Lawrence et al",Transforming Power for Peace (Publication of FGC Religious Education Committee),P&SC:Peace & Nonviolence,Peacemaking
"Armstrong, Karen",Islam: A Short History,Other Faiths,Islam
"Armstrong, Karen",Muhammad: A Prophet for Our Time,Other Faiths,Islam
"Atwell, Jim",Wobbling Home: A Spiritual Walk with Parkinson's,ARCH,Disability
Augustine of Hippo,"Confessions of St. Augustine, The; Sarah Ruden, trans.",Spirituality,
"Bacon, Margaret Hope","Back Bench, The, A Novel",Fiction,Historical Novel
"Bacon, Margaret Hope",But One Race: The Life of Robert Purvis,b-Quakers/Purvis,
"Bacon, Margaret Hope",Let This Life Speak: The Legacy of Henry Joel Cadbury,b-Quakers/Cadbury,
